varnames,label
id,
startdate,
enddate,
completed,
firstfill,
firstyear,First Year at Burn
birth,Birth Year
gender,Gender
sex,Sex
burn2016,
burn2015,
burn2014,
burn2013,
burn2012,
burn2011,
burn2010,
burn2009,
burn2008,
burn2007,
burn2006,
burn2005,
burn2004,
burn2003,
burn2002,
burn2001,
burn2000,
burn1999,
burn1998,
burn1997,
burn1996,
burn1995,
burn1994,
burn1993,
burn1992,
burn1991,
burn1990brd,
burn1990baker,
burn1989,
burn1988,
burn1987,
burn1986,
residence,Default Residence
residenceother,
zipcode,
postalcode,
incomep,Personal Income
household,
incomeh,Household Income
educ_1,
educ_2,
educ_3,
educ_4,
educ_5,
techvocational_certif,
educother,
educ_6,
educother_qual,
language,First Language Still Used
language_TEXT,
asian,
native,
hispanic,
white,
middleeastern,
black,
ethnoother,
native_qual,
ethnoother_qual,
color,Person of Color
usvote,Eligible to Vote in US
usparty,Political Party
uspartyother,
politicalid,Political Identity
politicalid_qual,
sexattraction,Sexual Attraction
sexorientation,Sexual Orientation
trans,
genderqueer,
gendernonconforming,
genderquestioning,
twospirit,
intersex,
married,
openrelat,Open Relationship
mono,
poly,
kink,
swinger,
queer,
loveaddict,
open_curious,
othersexlabel,
othersexlabel_qual,
spirituality,Spirituality
religion,Religion
religionotherChr,
religionother,
bmevents,Attended Regional Events
bminvolve_prod,
bminvolve_art,
bminvolve_camp,
bminvolve_vendor,
bminvolve_perfo,
bminvolve_other,
bminvolve_other_qual,
bminfojrs,
bminfodl,
bminfobmweb,
bminfobmjournal,
bminforegnew,
bminforegweb,
bminfobmir,
bminfosmbm,
bminfosmnot,
bminfoeplaya,
bminfowom,
bminfoother_TEXT,
valued_brcevents,
valued_sfevents,
valued_worldevents,
valued_regevents,
valued_volunteer,
valued_brcprep,
valued_pics,
valued_stories,
valued_nonprofit,
valued_other,
valued_other_qual,
bmir_online,
bmir_travelmobile,
bmir_brcair,
bmir_centercamp,
bmir_didntknow,
bmir_no,
bmgr,
bmprogramsbwb,
bmprogramsbma,
bmprogramsbrs,
bmprogramsbmrn,
princf_incl,Principles Practice Frequently Radical Inclusion
princf_gift,Principles Practice Frequently Gifting
princf_decom,Principles Practice Frequently Decommodification
princf_reli,Principles Practice Frequently Radical Self-reliance
princf_expr,Principles Practice Frequently Radical Self-expression
princf_commu,Principles Practice Frequently Communal Effort
princf_resp,Principles Practice Frequently Civic Responsibility
princf_lnt,Principles Practice Frequently Leave No Trace
princf_part,Principles Practice Frequently Participation
princf_immed,Principles Practice Frequently Immediacy
princf_incl_qual,
princf_gift_qual,
princf_decom_qual,
princf_reli_qual,
princf_expr_qual,
princf_commu_qual,
princf_resp_qual,
princf_lnt_qual,
princf_part_qual,
princf_immed_qual,
princd_incl,Principles Difficult Radical Inclusion
princd_gift,Principles Difficult Gifting
princd_decom,Principles Difficult Decommodification
princd_reli,Principles Difficult Radical Self-reliance
princd_expr,Principles Difficult Radical Self-expression
princd_commu,Principles Difficult Communal Effort
princd_resp,Principles Difficult Civic Responsibility
princd_lnt,Principles Difficult Leave No Trace
princd_part,Principles Difficult Participation
princd_immed,Principles Difficult Immediacy
prinimport,Principles Importance
prinessent,Principles Essential to Burning Man Experience
princchange,Principles Observe Change in Community
princwork,Principles Incorporating in Workplace
volunteerbrc,Volunteered Black Rock City
volunteerbmreg,Volunteered Regionals
volunteerbwb,Volunteered Burners Without Borders
volunteerart,Volunteered Art Projects
volunteerpolit,Volunteered Political Campaign or Voter Registration
volunteerschool,Volunteered at School or University
volunteerenv,Volunteered Animals or Environmental Clean Up
volunteercommun,Volunteered Community Groups or Clubs
volunteerself,Volunteered Self-initiated Good Deeds
volunteerother,Volunteered Other non-profits or charities
volunteerother_qual,
volunteerinspired,Volunteered Inspired After Going to Black Rock City
skillcreation,
skillperf,
skilllead,
skillmanag,
skillconstruct,
skillcarpmetal,
skillgraph,
skillmedit,
skillemotion,
skillother,
skillother_qual,
skilluseful,
skillusefam,
skillusecomm,
skilluseteach,
skillusebrc,
certifosha,
certifhippa,
certifcpr,
certiffoodsafety,
certifmachinery,
certiffiresafety,
certifother_qual,
burnerid,Identify as a Burner
yearround,BMOrg Should Facilitate Year Round Activities
don_artus,
don_artabroad,
don_commun,
don_brcplan,
don_lowincome,
don_artplaya,
don_regional,
don_other,
arrival,Arrival Date
leaving,Departure Date
travelbrc,Travel Method to Black Rock City
travelbrcother,
fly,Flight Origination
flyother,
nbvehicle,Number in Vehicle
nb012vehicle,Number Under 13 in Vehicle
nb1317vehicle,Number Between 13 and 17 in Vehicle
vehicletype,Vehicle Type
vehicletypeother,
milestotal,
milesnev,
mpg,
mpgother,
bxb_sftobrc,
bxb_renotobrc,
bxb_brctosf,
bxb_brctoreno,
bxbcamp,
bxbshuttle,
bxbforcost,
bxbfornodriving,
bxbforgatetraffic,
bxbforroadcongestion,
bxbforasbefore,
bxbforother,
bxbforother_qual,
bxbprice,
bxbticketexp,
bxbexp,
bxbreccommendations,
ticketwhere,Ticket Acquisition
ticketwhere_qual,
ticketcost,Ticket Cost
ticketcost_qual,
bmspending,
nvspendfuel,
nvspendfood,
nvspendlodging,
nvspendsurvival,
nvspendfun,
parkvisit,
sortwaste,
sortburnable,
sortrecyc,
sortcompost,
sortother,
sortother_qual,
trashcampserv,
trashggid,
trashexodusprg,
trashtransferstation,
trashdumpster,
trashfriend,
trashonmyway,
trashdropped,
trashhome,
trashbxb,
trashsomeone,
trashother,
trashother_qual,
nbcamp,
rv,
rvadults,
nbfamily,
broughtminor,
childban,
powerno,
powerbat,
powersol,
powerwind,
powervehic,
powercamp,
poweranot,
powergrid,
powerother,
powerother_qual,
vehicfueltype,
hoursvehicgen,
campfueltype,
campgenoutput,
hourscampgen,
address_letter,Address Letter
address_hour, Address Hour
assignedcamp,
locationattract,
locationsurface,
locationfriend,
locationavailable,
locationneighbors,
locationsamelastyear,
locationdifflastyear,
locationquiet,
locationparties,
locationidk,
desirereli,
attainreli,
desireadv,
attainadv,
desiresocresp,
attainsocresp,
desireties,
attainties,
desireaccept,
attainaccept,
desirespc,
attainspc,
desireesth,
attainesth,
desireanx,
attainanx,
desireqol,
attainqol,
desirefree,
attainfree,
desirevalues,
attainvalues,
desireart,
attainart,
desireexpres,
attainexpres,
desirespi,
attainspi,
desirecoop,
attaincoop,
desirerecyc,
attainrecyc,
desirestew,
attainstew,
desireprotec,
attainprotec,
desireimpact,
attainimpact,
desirecommaesthe,
attaincommaesthe,
desireecotour,
attainecotour,
contribthink,
contribgroup,
contribnat,
contribremote,
contribdesert,
contribfacilities,
contribactivities,
contribart,
contribmeet,
publiccamping,
publichiking,
publicswiming,
publicspring,
publicsailing,
publicbm,
publicother,
publicother_qual,
nevadacities,
intendbrd,
smilebrcfriend,
smiledwfriend,
smilebrccontrol,
smiledwcontrol,
smilebrchappy,
smiledwhappy,
emotionbrc,
emotiondw,
statusbrc,
statusdw,
artist,
brcsafe,
brcconnect,
burnerfamily,
money,
toexpart,
towork,
tomeetlike,
tomeetdiff,
toplay,
toconsume,
toescape,
toselfexpress,
toexpgifting,
toselfrely,
toperform,
tosatiscuriosity,
togrow,
tosatissomeone,
toother,
toother_qual,
enjoy,
intend,
transfo,
transfoextent,
transfoexp,
transfodesire,
transfoper,
longchange,
specexp,
specmoral,
specexpect,
specdesire,
specglad,
bestintentions,
selfother,
givetostranger,
playdw,
newfriendsdw,
notgonecost,
notgonenoticket,
notgonetoofar,
notgoneweather,
notgonecamping,
notgonewhite,
notgonehomo,
notgoneintox,
notgonehippies,
notgonenaked,
notgoneelectro,
notgonemen,
notgoneunsafe,
notgonevalues,
notgoneother,
notgoneother_qual,
notgonenoticketnb,
notgonetoofarnb,
notgoneweathernb,
notgonecampingnb,
notgonewhitenb,
notgonehomonb,
notgoneintoxnb,
notgonehippiesnb,
notgonenakednb,
notgoneelectronb,
notgonemennb,
notgoneunsafenb,
notgonevaluesnb,
notgoneothernb,
notgonecostnb,
sampledgate,
sampledairport,
sampledbxb,
fieldnotes,
visitedcensus,
onlinecensus,
voluntonplaya,
voluntoffplaya,
censusposts,
virgin,Virgin
polykink,Poly or Kinkster
age,Age
agegr,Age Group
agegr2,Age Group 2
agegr3,Age Group 3
agegr4,Age Group 4
agegr5,Age Group 5
nbburns,
nbburns2,Number of Burns
nbburns3,Number of Burns 2
nbburns4,Number of Burns 3
nbburns5,Number of Burns 4
timesincefirstburn,
timesincefirstburn2,Years Since First Burn
country,Country or Region of Origin
foreignipf,
incomep2,Personal Income 2
incomeh2,Household Income 2
educ,Education
english,
englishipf,
ethnocount,
ethno,Ethnoracial Background
nbvotes,Number of Past Four Election Voted
voteyn,
votestatus,Voted in Any of the Past Four Elections
uspartyipf,
sexattraction2,Sexual Attraction 2
het,Heterosexual
gaylesb,Gay or Lesbian
bisex,Bisexual
bicur,Bicurious
asex,Asexual
refusesexlabels,Refeuse Sex Labels
lgbt,LGBT
bmirsourcescount,
arrival2,
early,
lengthofstay,
nb012vehicle2,
nb1317vehicle2,
nbvehicle2,
nb017vehicle,
bxbtravel,
bxbcount2,
bmspendingcat,
nvspendtotal,
nvspendtotal2,
rv2,
nbfamily2,
reno,
sparks,
empire,
carson,
gerlach,
fernley,
winnemucca,
lovelock,
elko,
yerrington,
lasvegas,
laketahoe,
fallon,
wendover,
wadsworth,
pyramidlake,
nixon,
cedarville,
verdi,
tonopah,
hawthorne,
boomtown,
beatty,
latitude,
longitude,
state,
province,
